month,Amazônia,Caatinga,Cerrado,Mata Atlântica,Pampa,Pantanal,nan
2019-01,1419,433,1213,608,20,337,8427
2019-02,1368,73,574,607,32,211,15019
2019-03,3383,58,936,661,82,93,14349
2019-04,1702,28,753,276,50,33,10269
2019-05,854,59,1719,240,23,68,3200
2019-06,1880,135,4088,814,102,239,4150
2019-07,5318,302,5346,1712,222,494,9143
2019-08,30900,1304,12906,4689,446,1690,36149
2019-09,19925,2827,22989,4333,273,2887,37036
2019-10,7855,4716,8356,2184,72,2430,14706
2019-11,11297,3212,3251,1499,30,1296,7130
2019-12,3275,1813,1743,554,68,247,4754
2020-01,1200,293,662,421,25,265,9932
2020-02,1196,62,709,454,72,164,17661
2020-03,1641,22,890,549,176,602,27649
2020-04,789,38,1158,1013,335,784,19022
2020-05,829,42,1481,1028,309,313,11068
2020-06,2248,83,3487,802,83,406,7481
2020-07,6803,265,5663,1322,67,1684,15795
2020-08,29307,838,10155,4079,380,5935,40486
2020-09,32017,3037,21802,4279,88,8106,36439
2020-10,17326,5226,13440,2553,67,2856,30304
2020-11,6321,2686,2957,676,45,778,15423
2020-12,3484,1912,1415,336,38,223,4891
2021-01,794,449,625,285,43,41,6201
2021-02,864,244,607,405,32,35,8427
2021-03,643,250,686,808,64,50,9459
2021-04,615,123,820,769,134,87,6118
2021-05,1166,189,2649,990,234,60,4321
2021-06,2305,354,4181,495,37,98,4003
2021-07,4977,501,6955,2820,224,508,16534
2021-08,28060,1793,15043,5087,223,1505,31064
2021-09,16742,5392,19939,4756,46,2954,23598
2021-10,11549,4305,8389,1501,83,2515,17663
2021-11,5779,3020,1901,558,81,257,5961
2021-12,1596,1297,933,358,55,148,7904
2022-01,1226,155,763,379,153,83,23223
2022-02,584,101,685,401,99,61,18056
2022-03,490,114,751,335,55,45,9134
2022-04,384,30,853,289,35,25,2127
2022-05,2287,143,3578,480,22,188,4852
2022-06,2562,283,4239,649,28,115,6012
2022-07,5373,364,6713,1454,14,294,9467
2022-08,33116,1160,10567,2494,74,96,18632
2022-09,41282,2983,13651,2082,73,242,33072
2022-10,13911,5030,11594,1464,83,48,12949
2022-11,11062,2913,2154,606,42,201,16205
2022-12,2756,2262,1337,283,76,239,8426
2023-01,1056,489,585,298,45,21,9154
2023-02,734,185,759,271,77,9,14384
2023-03,1019,138,845,503,68,12,13857
2023-04,768,169,993,324,90,15,6622
2023-05,1692,166,2668,659,68,33,4948
2023-06,3075,246,4472,673,54,77,4697
2023-07,5772,540,6459,1040,48,126,9531
2023-08,17372,1080,6850,2465,177,110,21254
2023-09,26449,4552,13230,1872,10,373,22449
2023-10,22061,6939,8371,1123,41,1157,23425
2023-11,13940,3983,3242,1498,22,4134,16577
2023-12,4701,3063,2239,976,17,513,7337
2024-01,2049,700,1044,440,12,310,15518
2024-02,3157,151,795,359,31,73,16585
2024-03,2654,175,1806,612,25,176,20128
2024-04,1117,101,930,357,14,94,10208
2024-05,1670,169,3437,794,8,246,5299
2024-06,2842,336,5217,1365,33,2639,9162
2024-07,11434,542,7463,1739,82,1218,19992
2024-08,38266,1207,18620,6033,98,4411,45663
2024-09,41463,2910,29319,6715,59,2688,56336
2024-10,16169,4777,8024,1914,35,2437,21165
2024-11,14158,4842,2944,515,13,191,7837
2024-12,5367,4325,1869,485,14,15,5464
